"","X","screen_name","user_id","prob_bot"
"561",9,"_Remag",713401105,0.0411198280926762
"562",10,"vcd_87",139724442,0.0788583742597207
"563",11,"johnwylie",2658070706,0.00745043085301969
"564",12,"_NBlakeJones_",355611353,0.163904564820865
"566",14,"KakanTuring",27390715,0.369922546992416
"567",15,"Nancycfields1",857662493677596672,0.491856828232733
"568",16,"jadeesanton",284244574,0.171791829577014
"570",18,"sugru",67598405,0.0182175411336503
"571",19,"HackerNest",390521245,0.0488689597169402
"573",21,"andreolifelipe",34461692,0.388493145664297
"574",22,"arannzirri",295808762,0.0138571756802172
"577",25,"attar_ISA",162262968,0.00423303942476486
"580",28,"mathewpoptartm",2910279374,0.365567952253367
"581",29,"dodaface",1490721667,0.019326766576266
"583",31,"BeauBishop",19316413,0.004139121262835
"584",32,"itsmehasraf",281004077,0.00922977296034016
"585",33,"mustydust",87145036,0.00646819660510012
"587",35,"KJHart7",484363142,0.0195048790692009
"590",38,"ArtIsMorgan",109952167,0.0229253870351189
"593",41,"claes",731243,0.2718191254255
"596",44,"jgarciabejos",106829702,0.0194209791338093
"597",45,"Damomartt",494410683,0.0119541496707722
"598",46,"HaseChansen",203960635,0.278976454102175
"602",50,"negan_trash",797024228977606656,0.0180681602735173
"603",51,"Official_RTA",2334883769,0.0904096713069196
"608",56,"gracielahuerta0",2352430494,0.22238363854927
"609",57,"Romeo_Y_S",449747018,0.487633522732105
"611",59,"SimbaLND",326815027,0.0550690149518985
"613",61,"kardelensrtky",2600034409,0.026356859716343
"614",62,"Janvankampen",34028570,0.146917284643772
"615",63,"VanessaRosso_",134594812,0.253908026697371
"616",64,"AaronBrandt",18002039,0.398709859697404
"618",66,"inesavien",3437200143,0.0278162151242967
"619",67,"COVisuals",532480691,0.00160001747898908
"623",71,"Dast0us",1529988780,0.381054115843752
"624",72,"lichumile_m",27038053,0.0530433838663901
"625",73,"vsgopalan",93847915,0.216123827711026
"626",74,"Marlon_Gee",239971287,0.184833176884335
"627",75,"mrgoodbeard__",948743917255778304,0.00571208729425145
"628",76,"alexasm4r",619848673,0.0286175787522549
